altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1786.779128,-11.52729365,2.143476754,-28.10089045,0.2,0.3,-0.5
1597.61599,-20.78164806,-36.24811565,19.29407726,-0.1,-1.0,0.2
1385.955566,-19.50718279,48.73325585,-18.60262669,0.1,-0.6,0.0
1168.064133,-22.02936487,24.33532256,-2.290696842,0.9,-0.1,-0.2
904.1814408,-19.16906089,-5.833063052,119.0973496,-1.0,-1.0,-1.0
840.1799284,2.976951752,-12.21505699,-91.36808151,-1.0,-1.0,-1.0
904.1114382,-1.155146046,-3.61895489,-13.60385262,-0.5,0.3,0.4
885.7979638,-2.662897779,3.868045045,-61.72141992,-1.0,-1.0,-1.0
740.8084416,5.836877057,-22.01386151,-224.5992181,-1.0,-1.0,-1.0
588.8800774,3.175857139,-33.13911165,-335.1460961,0.4,0.4,0.6
419.6793718,-24.86103299,24.38187093,41.50466561,-0.7,-0.1,-0.6
240.8040193,-5.145279188,-29.04337788,-167.4610272,-0.8,0.2,-0.4
312.6394036,-1.631044675,-4.624575288,-47.24819342,1.0,-0.5,-0.8
340.0335821,-4.160169644,-9.346519889,56.82165967,0.0,-0.5,0.0
314.6709745,-4.173221812,0.3420655248,-11.11142009,1.0,-0.9,0.4
238.3796721,-8.872684046,28.8829063,98.87039565,0.0,0.7,0.1
Reward,,,,3.3227280855178836
Flight Duration,,,,33.22728085517883
