elapsedTime,elevator,aileron,rudder
0.0,1.0,-0.2,0.5
0.0,1.0,1.0,-0.8
0.0,-0.7,0.7,-0.7
0.0,0.2,-0.4,-0.4
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,-0.7,0.4,0.0
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,0.4,0.8,0.6
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,0.0,0.5,-0.7
0.0,1.0,-0.2,0.5
0.0,-0.2,0.0,0.6
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,-0.7,-0.7,-0.2
0.0,0.0,0.6,-0.4
0.0,1.0,-0.2,0.5
0.0,1.0,-0.2,0.5
0.0,0.9,-0.5,-0.7
0.0,1.0,-0.2,0.5
0.0,0.3,-0.3,0.3
0.0,1.0,-0.2,0.5
0.0,0.8,1.0,0.4
0.0,0.8,-1.0,-0.3
0.0,0.9,-0.1,1.0
0.0,1.0,-0.2,0.5
0.1,1.0,-0.2,0.5
0.2833333333333333,1.0,-0.2,0.5
0.4583333333333333,1.0,-0.2,0.5
0.5083333333333333,1.0,-0.2,0.5
0.5916666666666666,-0.1,0.7,-0.1
0.6916666666666664,1.0,-0.2,0.5
0.7916666666666664,1.0,-0.2,0.5
0.9833333333333331,1.0,-0.2,0.5
0.9999999999999998,0.2,0.6,0.8
1.0999999999999994,-0.6,-0.4,0.9
1.1916666666666658,0.6,0.9,0.6
1.2999999999999987,-0.3,0.7,-0.5
1.391666666666665,1.0,-0.2,0.5
1.4916666666666647,-0.8,-0.2,0.8
1.5999999999999976,0.4,-0.5,-0.7
1.691666666666664,1.0,0.4,1.0
1.7916666666666636,0.6,-0.6,-1.0
1.8916666666666633,0.5,-0.2,-1.0
1.991666666666663,0.4,0.9,-0.8
2.099999999999996,0.2,-0.1,-0.7
2.1916666666666624,1.0,-0.2,0.5
2.291666666666662,0.6,-0.9,1.0
2.3916666666666617,1.0,-0.2,0.5
2.4916666666666614,-0.8,-0.3,-0.1
2.5999999999999943,-0.1,0.1,-0.1
2.6916666666666607,1.0,-0.2,0.5
2.7916666666666603,0.0,0.1,-0.9
2.89166666666666,0.0,-1.0,0.9
2.9916666666666596,0.5,0.9,-0.9
3.0999999999999925,0.9,-0.2,0.7
3.199999999999992,1.0,-0.2,0.5
3.2916666666666585,1.0,-0.2,0.5
3.391666666666658,0.9,-1.0,-0.5
3.491666666666658,0.7,0.9,-0.3
3.5999999999999908,0.2,0.0,0.6
3.6999999999999904,0.1,0.2,0.9
3.7916666666666567,0.0,0.5,-0.6
3.8916666666666564,-0.9,-0.1,0.3
3.991666666666656,0.9,0.3,0.7
4.09166666666666,1.0,-0.2,0.5
4.191666666666662,1.0,-0.2,0.5
4.291666666666665,0.4,0.6,0.2
4.391666666666668,0.6,-0.9,0.3
4.4916666666666725,0.6,-0.9,0.3
4.5916666666666766,0.6,-0.9,0.3
4.6916666666666815,0.8,-0.6,-0.2
4.791666666666684,0.6,-0.9,0.3
